0
Sauberkeitsschicht C16/20
Beton Fundamentplatte C25/30 im Gefälle
Beton Pfahlrost
Auffüllen Beton C8/10
"Beton D/Kragpl.b.25cm C25/30 H.3,2m"
Hohlwand C25/30 ausbetonieren
"Beton Wand C25/30 ü.20-40cm H.3,2m"
"Beton Wand C25/30 b.20cm H.3,2m"
"Beton Stützen (Säulen oder Pfeiler) C25/30 H.3,2m"
Beton Rampe
"Beton Loggien/Balkone C25/30 H3,20m"
"Beton Sargdeckel C25/30 seitlich H.3,2m"
Niveauausgleich Polystyrolbeton
Schächte auffüllen mit Mineralwolle
